epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.098,0.79786,3.00057,1.16692,0.91809,0.0773,0.44516,0.34264,0.87563,3.44187,1.4542,0.00026664,0.00026664,0.00026664
2,379.601,0.78122,1.88805,1.10938,0.66391,0.39703,0.48353,0.27757,1.49379,3.12336,2.28563,0.000533611,0.000533611,0.000533611
3,560.847,0.81991,1.57299,1.10879,0.55231,0.20222,0.22433,0.12594,1.89595,3.87897,2.37708,0.000789583,0.000789583,0.000789583
4,731.844,0.83639,1.51718,1.12858,0.51407,0.37201,0.45333,0.29234,1.10203,2.67089,1.48931,0.00103456,0.00103456,0.00103456
5,905.669,0.79227,1.35845,1.10773,0.33741,0.45346,0.52977,0.35651,1.09774,2.62561,1.56053,0.00102301,0.00102301,0.00102301
6,1080.46,0.82072,1.32389,1.11303,0.75202,0.60707,0.76335,0.45569,1.16692,2.43797,1.5646,0.00100101,0.00100101,0.00100101
7,1256.19,0.8444,1.28953,1.10729,0.59535,0.66981,0.71629,0.40786,1.26105,2.878,1.72992,0.000979013,0.000979013,0.000979013
8,1421.68,0.79229,1.19775,1.07405,0.62072,0.77636,0.815,0.59153,0.95796,1.70111,1.38685,0.000957015,0.000957015,0.000957015
9,1587.62,0.7935,1.08335,1.08625,0.58796,0.61877,0.57804,0.41159,1.02131,2.31573,1.55308,0.000935018,0.000935018,0.000935018
10,1752.57,0.76135,1.07561,1.06985,0.69126,0.72952,0.78335,0.54362,0.97401,1.7388,1.51996,0.00091302,0.00091302,0.00091302
11,1918.05,0.75259,1.05752,1.06773,0.89375,0.66089,0.7824,0.50757,1.09759,1.94162,1.54251,0.000891022,0.000891022,0.000891022
12,2084.76,0.75007,1.01996,1.06341,0.879,0.69934,0.83839,0.59227,0.95505,1.55095,1.41143,0.000869024,0.000869024,0.000869024
13,2250.47,0.6862,0.93604,1.01439,0.84197,0.65535,0.82137,0.57982,0.95461,1.57083,1.39311,0.000847026,0.000847026,0.000847026
14,2415.51,0.69103,0.88213,1.03867,0.96801,0.69365,0.8975,0.65442,1.07423,1.50548,1.52378,0.000825029,0.000825029,0.000825029
15,2581.34,0.68667,0.87831,1.03877,0.80325,0.87166,0.91466,0.69084,0.99346,1.55043,1.41778,0.000803031,0.000803031,0.000803031
16,2745.65,0.71344,0.8743,1.03845,0.80521,0.87305,0.8534,0.65133,0.83907,1.27867,1.27156,0.000781033,0.000781033,0.000781033
17,2910.17,0.71044,0.85454,1.04341,0.83281,0.91395,0.91199,0.72339,0.90133,1.25284,1.29772,0.000759035,0.000759035,0.000759035
18,3077.82,0.65894,0.80317,1.0261,0.834,0.824,0.90704,0.68124,0.878,1.10758,1.31735,0.000737037,0.000737037,0.000737037
19,3242.39,0.65114,0.76727,1.01295,0.7977,0.92066,0.94262,0.72304,0.85221,1.07758,1.29248,0.00071504,0.00071504,0.00071504
20,3409.68,0.65527,0.71604,1.03263,0.87708,0.90404,0.95729,0.74262,0.80333,1.06139,1.21532,0.000693042,0.000693042,0.000693042
21,3577.24,0.65108,0.72938,1.01754,0.92182,0.95199,0.97208,0.7796,0.80314,0.96067,1.22185,0.000671044,0.000671044,0.000671044
22,3744.01,0.62789,0.72484,1.01541,0.91056,0.80946,0.9387,0.72226,0.88266,1.09963,1.32965,0.000649046,0.000649046,0.000649046
23,3912.36,0.63304,0.73247,1.01584,0.91461,0.95017,0.97692,0.72727,0.84059,0.91704,1.27585,0.000627048,0.000627048,0.000627048
24,4076.88,0.60173,0.66346,0.99648,0.9381,0.82445,0.94589,0.74292,0.81581,0.8805,1.26921,0.000605051,0.000605051,0.000605051
25,4242.69,0.62098,0.64963,1.01552,0.92113,0.72521,0.84024,0.63285,0.90319,0.9883,1.35805,0.000583053,0.000583053,0.000583053
26,4412.18,0.63211,0.68657,1.02569,0.96994,0.86006,0.94268,0.75403,0.75555,0.86724,1.21867,0.000561055,0.000561055,0.000561055
27,4581.4,0.57241,0.60806,0.98922,0.91523,0.93508,0.98292,0.77112,0.78872,0.83131,1.24486,0.000539057,0.000539057,0.000539057
28,4749.66,0.6004,0.63451,0.99742,0.9568,0.93003,0.97152,0.74432,0.82211,0.78806,1.29527,0.000517059,0.000517059,0.000517059
29,4918.95,0.57274,0.59559,0.97377,0.93893,0.93561,0.97329,0.76939,0.77762,0.74891,1.2483,0.000495062,0.000495062,0.000495062
30,5089.6,0.57143,0.56513,0.97417,0.95808,0.94513,0.97841,0.76836,0.75807,0.71853,1.19403,0.000473064,0.000473064,0.000473064
31,5255.63,0.57128,0.58794,0.97245,0.92426,0.9173,0.97478,0.74433,0.79794,0.80256,1.24558,0.000451066,0.000451066,0.000451066
32,5422.09,0.55788,0.5525,0.98614,0.96701,0.94562,0.9875,0.79289,0.72215,0.68244,1.18535,0.000429068,0.000429068,0.000429068
33,5589.92,0.57347,0.56033,0.96827,0.93569,0.95978,0.98332,0.76068,0.71512,0.77193,1.16098,0.00040707,0.00040707,0.00040707
34,5755.76,0.53419,0.52299,0.96541,0.97141,0.94458,0.98519,0.81645,0.7099,0.64203,1.18167,0.000385073,0.000385073,0.000385073
35,5921.43,0.52092,0.52963,0.9572,0.96755,0.9434,0.98218,0.78525,0.74149,0.64164,1.2037,0.000363075,0.000363075,0.000363075
36,6087.15,0.54634,0.54177,0.9646,0.96963,0.94941,0.98519,0.80401,0.73104,0.63837,1.15334,0.000341077,0.000341077,0.000341077
37,6253.68,0.53684,0.52432,0.96288,0.98135,0.9434,0.97709,0.79799,0.73181,0.62568,1.21624,0.000319079,0.000319079,0.000319079
38,6423.1,0.50916,0.50049,0.9505,0.95249,0.95325,0.97292,0.81317,0.72105,0.65148,1.21869,0.000297081,0.000297081,0.000297081
39,6593.27,0.51957,0.49688,0.95585,0.95285,0.94675,0.97503,0.78902,0.74411,0.62103,1.22288,0.000275084,0.000275084,0.000275084
40,6761.15,0.49651,0.48398,0.94564,0.97878,0.96181,0.98871,0.81672,0.66913,0.60386,1.12987,0.000253086,0.000253086,0.000253086
41,6926.9,0.40522,0.48211,0.90245,0.95158,0.90672,0.97138,0.81118,0.74815,0.8018,1.21559,0.000231088,0.000231088,0.000231088
42,7093.83,0.40107,0.43676,0.91469,0.97145,0.91629,0.9799,0.83526,0.68975,0.68041,1.1505,0.00020909,0.00020909,0.00020909
43,7259.73,0.38828,0.41776,0.89312,0.97791,0.92183,0.98651,0.82037,0.66438,0.62481,1.10847,0.000187092,0.000187092,0.000187092
44,7428.84,0.3855,0.40792,0.88091,0.98152,0.96226,0.98522,0.81561,0.68921,0.60467,1.14441,0.000165095,0.000165095,0.000165095
45,7595.25,0.36122,0.38202,0.88165,0.96952,0.96728,0.98286,0.82461,0.68352,0.63227,1.13881,0.000143097,0.000143097,0.000143097
46,7761.24,0.3823,0.38614,0.9014,0.97808,0.96124,0.98321,0.83338,0.66943,0.59696,1.12861,0.000121099,0.000121099,0.000121099
47,7928.3,0.35733,0.37384,0.8784,0.96369,0.96226,0.98447,0.83213,0.65491,0.58556,1.11978,9.91012e-05,9.91012e-05,9.91012e-05
48,8094.51,0.35696,0.36601,0.86561,0.96942,0.96226,0.98062,0.81776,0.6368,0.55448,1.09961,7.71034e-05,7.71034e-05,7.71034e-05
49,8262.62,0.37342,0.35667,0.87047,0.9673,0.96412,0.98191,0.82342,0.63301,0.55453,1.09421,5.51056e-05,5.51056e-05,5.51056e-05
50,8430.48,0.33541,0.33511,0.84368,0.97958,0.96226,0.98335,0.83173,0.63461,0.55196,1.10132,3.31078e-05,3.31078e-05,3.31078e-05
